itemnumber,checkouts,biblionumber,itemcallnumber,author,title
264965,1,179243,ML1727.8.P2 E929 2005,"Everist, Mark",Giacomo Meyerbeer and music drama in nineteenth-century Paris /
264968,1,179246,TD225.S25 S715 2005,"Simpson, John W.",Dam! :
264976,1,179254,U264 .D43 2005,"De Groot, Gerard J.,",The bomb :
265002,1,179278,PS3566.I372 M9 2005,"Picoult, Jodi,",My sister's keeper :
265008,1,179284,PS153.N5 S56 2005,"Smethurst, James Edward",The Black Arts Movement :
265013,1,179289,V ROHR ATWH R 05,"Rohr, Richard",The authority of those who have suffered
265014,1,179290,V ROHR BM R 02,"Rohr, Richard",Beginner's mind
265025,1,179301,PS3554.E4425 V35 1999,"DeLillo, Don",Valparaiso :
265037,1,179312,MT3.E5 G74 2002,"Green, Lucy",How popular musicians learn :
265039,1,179314,ML1700 .G29 2006,"Gallo, Denise P.",Opera :
265049,1,179323,PZ7.M462 Md 1983,"Mayer, Mercer,",Me too! /
265051,1,179325,PZ7.K63395 Mi 1998,"Kirk, David,",Miss Spider's ABC /
265053,1,179327,HQ814 .T43 1999,"Thomas, Pat,",My family's changing :
265057,1,179331,PZ8.3.S577 Wi 2004,"Sierra, Judy",Wild about books /
265058,1,179332,PZ7.M1218 Im 2000,"McBratney, Sam",I'm sorry /
265111,1,179341,K1450 .M87 2004,,Music and copyright /
265112,1,179342,ML410.S4 M19 2005,"Macdonald, Claudia",Robert Schumann and the piano concerto /
265139,1,179369,PZ7.P75186 Mr 1994b,"Polacco, Patricia",Mrs. Katz and Tush /
265140,1,179370,PZ7.M11714 Bar 2002,"McAllister, Angela.","Barkus, Sly and the golden egg /"
265142,1,179372,PZ7.A5833 Mi 2004,"Angelou, Maya",Mikale of Hawaii /
265145,1,179375,JK517 .S75 1999,"Stier, Catherine",If I were president /
265160,1,179390,PZ7.K1256 Wh 2001,"Kalman, Maira",What Pete ate from A-Z :
265161,1,179391,PZ8.3.H2185 Th 2002,"Harper, Charise Mericle",There was a bold lady who wanted a star /
265163,1,179393,PZ7.A58635 De 1996,"Anholt, Laurence",Degas and the little dancer :
265165,1,179395,PZ7.L8432 Fte 2004,"London, Jonathan,",Froggy's day with Dad /
265166,1,179396,PZ7.C86928 Te 2002,"Crimi, Carolyn",Tessa's tip-tapping toes /
265172,1,179402,PZ8.3.G47 Wj 2005,"Gliori, Debi",Where did that baby come from? /
265173,1,179403,PZ7.F859226 Gi 1999,"Franklin, Kristine L.",The gift /
265175,1,179405,PZ7.F8373 Po 1983b,"Fox, Mem,",Possum magic /
265177,1,179407,PZ8.1.L9523 Du 2001,"Lowell, Susan,",Dusty Locks and the three bears /
265179,1,179409,PZ7.C21476 Sl 2002,"Carle, Eric","""Slowly, slowly, slowly,"" said the sloth /"
265181,1,179411,PZ7.C21476 My 1994,"Carle, Eric",My apron :
265186,1,179416,PZ7.V816 Go 1988,"Viorst, Judith",The good-bye book /
265188,1,179418,PZ8.3.B975 Fi 1994,"Bush, John.",The fish who could wish /
265191,1,179421,PZ8.3.M418 Bar 1988,"Martin, Bill,",Barn dance! /
265192,1,179422,PZ7.B4483 Beo 1982,"Berenstain, Stan,",The Berenstain bears get in a fight /
265195,1,179425,PZ7.Z487 Ne 1986,"Ziefert, Harriet",A new coat for Anna /
265198,1,179428,PZ7.H96165 Ve 1988,"Hutchins, Pat,",The very worst monster /
265212,1,179442,LB1139.5.S35 A84 2003,"Ashbrook, Peggy",Science is simple :
265215,1,179445,HQ76.3.U5 M642 2005,"Mohr, Richard D.",The long arc of justice :
265222,1,179452,PQ3897 .F73 2003,,Francophone post-colonial cultures :
